规则项id,是否启用,风险程度,关键词,检查项,审查要求,审查说明
SU-ID-001,启用,高,"股权代持,名义股东,实际出资人,代持协议效力",审查代持协议是否具备法定无效情形,必须检查代持协议是否存在民法典第153条规定的无效情形（恶意串通、违反强制性规定）；涉及金融/军工等特定行业的代持可能因违反行业准入规定而无效。,据公司法司法解释三第24条，代持合同如无无效情形通常有效；但涉特定行业的代持需单独核查行业法规。修改建议：代持协议中增加效力兜底条款。
SU-ID-002,启用,高,"显名化,实际出资人,其他股东同意,股东资格确认",审查实际出资人显名化程序是否满足半数以上其他股东同意的条件,实际出资人请求公司变更股东前，必须取得其他股东半数以上书面同意；建议在代持协议签署前即评估其他股东态度。,据公司法司法解释三第24条第3款，实际出资人显名化参照外部转让规则需其他股东半数以上同意。
SU-ID-003,启用,高,"名义股东处分,善意取得,实际出资人,股权无权处分",审查代持协议是否有限制名义股东擅自处分的约束条款,代持协议必须包含名义股东不得擅自转让/质押股权的明确禁止条款及违约金；建议将股权质押登记给实际出资人或其指定方作为控制措施。,据公司法司法解释三第25条，名义股东擅自处分股权可参照善意取得制度处理。建议加入三重保护机制。
SU-ID-004,启用,高,"夫妻共同财产,股权分割,配偶同意,登记一方处分",审查股权转让是否需要配偶同意,股权属于夫妻共同财产可能性较大时，必须要求转让方配偶提供书面同意函；不能仅以登记在一方名下推定其为唯一所有权人。,基于专业知识补充。实践中多次出现离婚后原配偶主张转让无效的纠纷。修改建议：大额转让要求配偶签署同意函。
SU-ID-005,启用,中,"冒名登记,冒名转让,身份冒用,股东资格否认",审查股权协议中各方主体身份的真实性,要求转让方提供身份证件原件并面签；对线上签署的协议建议采用人脸识别+银联验证等多因子认证。,基于专业知识补充。被冒名登记为股东者可主张股东资格无效。修改建议：重大转让建议公证面签。
SU-ID-006,启用,中,"股权继承,自然人死亡,继承人资格,章程限制",审查章程是否对股东资格继承设置限制条件,必须审查公司章程关于股权继承的特别规定；若章程限制继承人取得股东资格，应明确继承人仅继承财产性权利。,据公司法第167条，股东死亡后继承人可继承股东资格，但章程可排除。修改建议：章程中预先约定股权继承路径。
SU-AUTH-001,启用,中,"公司章程,股权转让限制,公司自治,优先适用",审查目标公司章程中是否有不同于公司法的股权转让特别规定,每次股权交易前必须取得目标公司最新版本章程全文，逐条核查章程中关于股权转让的特殊规定。,据公司法第5条和第84条第3款，章程对股权转让另有规定的优先适用。修改建议：将审查章程列为交易前置条件。
SU-AUTH-002,启用,中,"内部决策程序,股东会决议,董事会决议,老股东利益",审查股权转让是否经过目标公司必要的内部决策程序,必须核查目标公司股东会/董事会是否就股权转让作出有效决议；决议的召集程序、表决比例须符合章程和公司法规定。,据公司法（2023修订），股权转让应履行内部决策程序。
SU-AUTH-003,启用,中,"增资优先认缴权,实缴出资比例,反稀释,股东协议",审查增资条款是否尊重股东的优先认缴权,有限责任公司增资时，必须按照实缴出资比例向现有股东发出认缴通知；若全体股东另有约定，必须有全体股东签字的书面文件。,据公司法第227条，增资时股东有实缴出资比例优先认缴权。
SU-AUTH-004,启用,中,"知情权,会计账簿查阅,不正当目的,同业竞争",审查股东协议中查阅权的行使条件和限制是否合理,审查股东查阅权条款是否与公司法司法解释四第8条的四种不正当目的情形相衔接。,据公司法司法解释四第8条，四种情形构成不正当目的。
SU-LIAB-001,启用,高,"出资义务,不因转让免除,原股东责任,公司追缴",审查股权转让协议是否明确转让方的出资义务不受转让影响,转让方未履行或未全面履行出资义务的，即使已完成股权转让，公司仍可向其追缴。,据公司法司法解释三第18条，出资义务不因股权转让而当然免除。
SU-LIAB-002,启用,高,"认缴出资,未届期限,受让人承担,转让人补充责任",审查认缴未实缴股权转让时出资责任的分配条款,必须审查协议中关于未届期认缴出资的承继条款；受让人受让后承担出资缴纳义务，转让人承担补充责任。,据公司法第88条第1款，未届出资期限的股权转让由受让人缴纳，转让人承担补充责任。
SU-LIAB-003,启用,高,"出资不足连带,转让人,受让人,善意例外",审查受让人是否充分核查了转让方的出资真实情况,"受让人受让股权前必须完成出资核查（出资证明、验资报告、银行流水）；未核查的受让人可能因推定""应当知道""而承担连带责任。",据公司法第88条第2款，出资不足的股权转让中转让人与受让人承担连带责任，除非受让人善意。
SU-LIAB-004,启用,高,"失权通知,催缴出资,股东除名,未缴纳出资",审查章程/协议是否约定失权机制的具体触发条件和程序,审查公司章程是否包含股东出资催缴和失权程序；催缴宽限期不得少于60日，失权通知须书面发出。,据公司法第52条，未按期出资经催缴60日宽限期后仍不履行的，公司可发出失权通知。
SU-LIAB-005,启用,中,"名义股东,补充赔偿责任,出资义务,公司债权人",审查名义股东是否了解可能对公司债务承担补充赔偿责任,代持协议中必须明确告知名义股东：在出资未缴足时，名义股东对公司债务承担未出资范围内的补充赔偿责任。,"据公司法司法解释三第26条，名义股东不得以""仅为名义股东""为由对抗债权人。"
SU-LIAB-006,启用,中,"股东名册,股东权利取得,股权登记,受让人",审查股权转让协议是否明确约定股东名册变更的时间节点和责任,协议必须约定受让人从股东名册记载时取得股东权利；设定具体的名册变更办理日期。,据公司法第86条，股东权利自股东名册记载时取得。
SU-COMP-001,启用,高,"外资准入,负面清单,外商投资,行业限制",审查外商投资是否涉及负面清单限制行业,"涉及外商投资准入负面清单的股权转让，必须在协议中设置""以取得外资主管部门审批/备案为生效条件""的条款。",基于专业知识补充。违反负面清单的股权转让合同可能无效。
SU-COMP-002,启用,高,"名股实债,代持禁止,国有参股,合规",审查涉及国有企业的股权安排是否合规,国有企业参股不得采用股权代持或名股实债方式交易；涉及国有股权的转让原则上须经审计评估并在产权交易机构公开挂牌。,据国有企业参股管理暂行办法第8条，国有企业参股不得以代持/名股实债方式开展。
SU-SEC-001,启用,高,"股权冻结,股权质押,限制转让,无效处分",审查转让标的股权是否存在冻结或质押状态,必须在签署股权转让协议前通过国家企业信用信息公示系统查询股权状态；被冻结或质押的股权不得办理过户登记。,基于专业知识补充。被冻结/质押的股权不得转让。
SU-DISC-001,启用,中,"未变更登记,原股东处分,股权二重转让,受让人保护",审查股权转让后是否立即办理了变更登记,股权转让协议必须约定价款支付与工商变更登记的联动机制；变更登记完成前建议将股权质押给受让人作为过渡保护。,据公司法司法解释三第27条，未变更登记前原股东再次处分的可能适用善意取得。
SU-ADD-001,启用,高,"出资加速到期,未届出资期限,公司不能清偿债务,新公司法54条",审查未实缴股权受让人是否了解出资加速到期风险,公司不能清偿到期债务的，债权人有权要求已认缴但未届出资期限的股东提前缴纳出资；受让未实缴股权前须评估公司资产负债状况。,据公司法(2023)第54条，新增出资加速到期制度。
SU-CAP-001,启用,高,"发起人连带责任,资本充实,出资不足,公司设立",审查受让的发起人股权是否仍存在对其他发起人出资不足的连带责任风险,有限责任公司设立时的发起人对其他股东未实缴出资部分承担连带责任；该责任不因股权转让而当然消灭。,据公司法第50条，发起人对其他发起人出资不足承担连带责任。
SU-ONE-001,启用,高,"一人公司,财产混同,连带责任,人格否认",审查目标公司是否为人格混同的一人公司,一人公司股东不能证明公司财产独立于个人财产的，对公司债务承担连带责任；股权受让人承接该风险。,据公司法(2023)第23条第3款。
SU-DIR-001,启用,中,"董事催缴义务,核查出资,董事会责任,书面催缴",审查章程中是否明确董事会对股东出资的核查催缴程序,董事会负有核查股东出资情况的义务，发现未按期出资的应书面催缴；负有责任的董事未履职的应承担赔偿责任。,据公司法(2023)第51条，新增董事催缴义务。
SU-GUA-001,启用,中,"让与担保,名股实债,股权转让担保,流质条款",审查以股权转让为名的交易是否实质构成让与担保,以股权转让名义实为借款担保的，应按担保关系处理；流质条款无效。,据民法典担保制度解释第68-69条。修改建议：明确交易真实性质。
SU-FROZ-001,启用,中,"股权冻结处置,强制执行,冻结期间,股权价值损失",审查协议是否约定股权被冻结后的处理机制,股权在转让过程中被冻结的，受让人有权暂停支付价款并要求转让方在合理期限内解冻；逾期未解冻的，受让人可解除协议。,基于专业知识补充。冻结期间的股权价值可能因公司经营恶化而贬值。
PA-NODE-001,启用,中,"支付方式,转让价格,支付期限,书面通知",审查股权转让通知中是否包含完整的价款、支付方式和期限,股权转让通知必须包含转让数量、单价/总价、支付方式、支付期限；缺少任一要素可能导致优先购买权行使基础不明确。,据公司法第84条，转让通知必须包含价格、支付方式和期限。
